index,lastNameEn,lastNameGe,count
506,bidzinashvili,ბიძინაშვილი,1350
507,babunashvili,ბაბუნაშვილი,1350
508,jorbenadze,ჯორბენაძე,1349
509,zaalishvili,ზაალიშვილი,1346
510,muradashvili,მურადაშვილი,1345
511,qurtsikidze,ქურციკიძე,1345
512,liluashvili,ლილუაშვილი,1338
513,nabieva,ნაბიევა,1336
514,papunashvili,პაპუნაშვილი,1336
515,malania,მალანია,1335
516,ratiani,რატიანი,1333
517,khujadze,ხუჯაძე,1332
518,antia,ანთია,1329
519,abdulaeva,აბდულაევა,1327
520,grigolia,გრიგოლია,1327
521,iusubova,იუსუბოვა,1326
522,dgebuadze,დგებუაძე,1326
523,khalilova,ხალილოვა,1325
524,panchulidze,ფანჩულიძე,1324
525,buadze,ბუაძე,1324
526,tevdoradze,თევდორაძე,1323
527,janashvili,ჯანაშვილი,1322
528,dekanoidze,დეკანოიძე,1317
529,gabisonia,გაბისონია,1317
530,gvalia,გვალია,1315
531,ioseliani,იოსელიანი,1314
532,darchia,დარჩია,1314
533,akopiani,აკოფიანი,1314
534,tevdorashvili,თევდორაშვილი,1313
535,martiashvili,მარტიაშვილი,1311
536,kukhalashvili,კუხალაშვილი,1311
537,tsenteradze,ცენტერაძე,1307
538,tsitsqishvili,ციცქიშვილი,1307
539,devdariani,დევდარიანი,1307
540,potskhverashvili,ფოცხვერაშვილი,1304
541,shiukashvili,შიუკაშვილი,1300
542,gigashvili,გიგაშვილი,1299
543,pruidze,ფრუიძე,1299
544,manukiani,მანუკიანი,1299
545,grigorian,გრიგორიან,1298
546,sokhadze,სოხაძე,1295
547,tvauri,თვაური,1295
548,qitiashvili,ქიტიაშვილი,1294
549,alavidze,ალავიძე,1292
550,oganesiani,ოგანესიანი,1291
551,julakhidze,ჯულაყიძე,1288
552,kokaia,კოკაია,1288
553,sturua,სტურუა,1287
554,kotchlamazashvili,კოჭლამაზაშვილი,1284
555,giunashvili,გიუნაშვილი,1279
556,kvitsiani,კვიციანი,1279
557,muradovi,მურადოვი,1274
558,kobaladze,კობალაძე,1268
559,zarnadze,ზარნაძე,1265
560,gogiberidze,გოგიბერიძე,1263
561,sharashenidze,შარაშენიძე,1262
562,akhalkatsi,ახალკაცი,1261
563,tepnadze,ტეფნაძე,1261
564,gegetchkori,გეგეჭკორი,1261
565,kopaleishvili,კოპალეიშვილი,1260
566,jakheli,ჯაყელი,1260
567,sherozia,შეროზია,1259
568,bandzeladze,ბანძელაძე,1258
569,kldiashvili,კლდიაშვილი,1257
570,kasradze,კასრაძე,1255
571,tatishvili,ტატიშვილი,1255
572,gogritchiani,გოგრიჭიანი,1251
573,qvrivishvili,ქვრივიშვილი,1251
574,jimsheleishvili,ჯიმშელეიშვილი,1251
575,khomeriki,ხომერიკი,1251
576,goderdzishvili,გოდერძიშვილი,1246
577,mezvrishvili,მეზვრიშვილი,1245
578,shanava,შანავა,1244
579,khuroshvili,ხუროშვილი,1243
580,tavdgiridze,თავდგირიძე,1242
581,kakhniashvili,კახნიაშვილი,1242
582,kiknavelidze,კიკნაველიძე,1238
583,tamazashvili,თამაზაშვილი,1238
584,kukava,კუკავა,1235
585,saginadze,საგინაძე,1234
586,mkheidze,მხეიძე,1232
587,gulordava,გულორდავა,1229
588,lekishvili,ლეკიშვილი,1223
589,ibragimova,იბრაგიმოვა,1215
590,parulava,ფარულავა,1214
591,laliashvili,ლალიაშვილი,1214
592,zaqaradze,ზაქარაძე,1211
593,kupradze,კუპრაძე,1211
594,pirtskhalaishvili,ფირცხალაიშვილი,1211
595,ananidze,ანანიძე,1210
596,svanadze,სვანაძე,1210
597,khutchua,ხუჭუა,1209
598,petrosian,პეტროსიან,1206
599,romanadze,რომანაძე,1205
600,soselia,სოსელია,1203
601,ghughunishvili,ღუღუნიშვილი,1202
602,chaladze,ჩალაძე,1200
603,berikashvili,ბერიკაშვილი,1195
604,nikoladze,ნიკოლაძე,1194
605,kordzadze,კორძაძე,1192
606,gamkhrelidze,გამყრელიძე,1189
