rus,en,matched
Аббас,Abbas,აბბას
Семинар,Seminar,სემინარ
Гигло,Giglo,გიგლო
Аракел,Arakel,არაკელ
Сако,Sako,კაკო
Бочия,Bochiya,ბოჩია
Гаспар,Gaspar,გასპარ
Авак,Avak,ავაკ
Пила,Pila,ფიალა
Елисбар,Elisbar,ელისბარ
Енок,Enok,ენოკ
Бено,Beno,ბენო
Мирза,Mirza,მირზა
Гогий,Gogii,გოგი
Мурсал,Mursal,მურსალ
Эрасти,Erasti,ერასტი
Гентор,Gentor,ღენტორ
Джалил,Dzhalil,ხალილ
Т.,T.,თეა
Джого,Dzhogo,ჟორა
Ервант,Ervant,ერვანდ
Напо,Napo,ნაპო
Пирус,Pirus,ფირუზ
Лазар,Lazar,ლაზარ
Намаз,Namaz,ნამაზ
Расул,Rasul,რასულ
Милитон,Militon,მელიტონ
Петро,Petro,პეტრო
Кероп,Kerop,კეროპ
Шала,SHala,შალვა
Аршалус,Arshalus,არშალუს
Расим,Rasim,რასიმ
Отарий,Otarii,ოთარი
Герисо,Geriso,გერისო
Осип,Osip,ასიფ
Рафаэль,Rafael,რაფაელ
Богдан,Bogdan,ბოგდან
Саркиз,Sarkiz,სარკის
Макарий,Makarii,მაკარი
Амирон,Amiron,ამირან
Арчи,Archi,არჩილ
Мевлуд,Mevlud,მევლუდ
Завен,Zaven,ზავენ
Ивлиан,Ivlian,ივლიანე
Антимоз,Antimoz,ანთიმოზ
Магомед-оглы,Magomed-ogli,მაგამედალი
Джафар,Dzhafar,აჟდარ
Мирян,Miryan,მირიან
Китес,Kites,კოტე
Шакру,SHakru,შაკრო
Гервасий,Gervasii,გერვასი
Бего,Bego,ბეგო
Мириян,Miriyan,მირიან
Поликарпе,Polikarpe,პოლიკარპე
Варткес,Vartkes,ვარტკეს
Зия,Ziya,ზინა
Вания,Vaniya,ვანია
Анушеван,Anushevan,ანუშევან
Армаис,Armais,არმაის
Яким,YAkim,აკიმ
Тарасий,Tarasii,ტარასი
Чола,CHola,ჭოლა
Мегона,Megona,მეგონა
Насиб,Nasib,ნასიბ
Ераст,Erast,ერასტი
Рамазан,Ramazan,რამაზან
Кондратий,Kondratii,კონდრატი
Михо,Miho,მირო
Шаверда,SHaverda,ალავერდა
П.,P.,აფო
Епифан,Epifan,ფირან
Крикор,Krikor,გრიკორ
Ишхан,Ishhan,იშხან
Ермалай,Ermalai,ემალი
Ал-др,Al-dr,ალუდა
Вачакан,Vachakan,ვაჩაკან
Гола,Gola,გოლა
Ваграм,Vagram,ვაგრამ
Исрафил,Israfil,ისრაფილ
